Period,MCP-Price,MCP-Buy Quantity,MCP-Sell Quantity,A1-Price,A1-Buy Quantity,A1-Sell Quantity,A2-Price,A2-Buy Quantity,A2-Sell Quantity,E1-Price,E1-Buy Quantity,E1-Sell Quantity,E2-Price,E2-Buy Quantity,E2-Sell Quantity,N1-Price,N1-Buy Quantity,N1-Sell Quantity,N2-Price,N2-Buy Quantity,N2-Sell Quantity,N3-Price,N3-Buy Quantity,N3-Sell Quantity,S1-Price,S1-Buy Quantity,S1-Sell Quantity,S2-Price,S2-Buy Quantity,S2-Sell Quantity,S3-Price,S3-Buy Quantity,S3-Sell Quantity,W1-Price,W1-Buy Quantity,W1-Sell Quantity,W2-Price,W2-Buy Quantity,W2-Sell Quantity,W3-Price,W3-Buy Quantity,W3-Sell Quantity
11:00 - 11:15,7100.84,7767.70,7767.70,7100.84,0.00,72.00,7100.84,233.00,90.00,7100.84,1107.50,856.60,7100.84,455.00,507.60,7100.84,645.60,159.70,7100.84,6.90,778.20,7100.84,0.00,200.00,7100.84,10.20,2424.40,7100.84,0.00,82.30,7100.84,0.00,115.00,7100.84,33.80,1076.00,7100.84,5275.70,890.50,7100.84,0.00,515.40
11:15 - 11:30,7200.18,7901.70,7901.70,7200.18,0.00,72.00,7200.18,248.00,90.00,7200.18,1220.60,856.60,7200.18,455.00,507.60,7200.18,637.50,159.70,7200.18,6.90,862.20,7200.18,0.00,200.00,7200.18,10.20,2474.40,7200.18,0.00,82.30,7200.18,0.00,115.00,7200.18,33.80,1076.00,7200.18,5289.70,890.50,7200.18,0.00,515.40
11:30 - 11:45,7510.64,7983.60,7983.60,7510.64,0.00,70.00,7510.64,258.00,90.00,7510.64,1315.00,856.60,7510.64,455.00,507.60,7510.64,681.90,159.70,7510.64,6.90,946.20,7510.64,0.00,200.00,7510.64,10.20,2474.40,7510.64,0.00,82.30,7510.64,0.00,115.00,7510.64,33.80,1075.90,7510.64,5222.80,890.50,7510.64,0.00,515.40
11:45 - 12:00,7510.69,8057.80,8057.80,7510.69,0.00,70.00,7510.69,268.00,90.00,7510.69,1407.00,856.60,7510.69,455.00,507.60,7510.69,681.90,159.70,7510.69,6.90,1020.20,7510.69,0.00,200.00,7510.69,10.20,2474.40,7510.69,0.00,82.30,7510.69,0.00,115.00,7510.69,33.80,1076.10,7510.69,5195.00,890.50,7510.69,0.00,515.40
12:00 - 12:15,8730.50,8439.10,8439.10,8730.50,0.00,78.00,8730.50,303.00,90.00,8730.50,1405.00,855.70,8730.50,455.00,506.80,8730.50,673.80,159.70,8730.50,5.90,1409.60,8730.50,0.00,200.00,8730.50,9.90,2371.60,8730.50,0.00,82.30,8730.50,0.00,125.00,8730.50,33.80,1076.20,8730.50,5552.70,968.80,8730.50,0.00,515.40
12:15 - 12:30,8730.21,8401.00,8401.00,8730.21,0.00,78.00,8730.21,308.00,90.00,8730.21,1415.00,857.70,8730.21,455.00,506.80,8730.21,657.70,159.70,8730.21,5.90,1369.40,8730.21,0.00,200.00,8730.21,9.90,2371.60,8730.21,0.00,82.30,8730.21,0.00,125.00,8730.21,33.80,1076.30,8730.21,5515.70,968.80,8730.21,0.00,515.40
12:30 - 12:45,8730.82,8351.60,8351.60,8730.82,0.00,78.00,8730.82,318.00,90.00,8730.82,1285.00,857.70,8730.82,455.00,506.80,8730.82,613.30,139.90,8730.82,5.90,1389.60,8730.82,0.00,200.00,8730.82,9.90,2321.60,8730.82,0.00,82.30,8730.82,0.00,125.00,8730.82,33.80,1076.50,8730.82,5630.70,968.80,8730.82,0.00,515.40
12:45 - 13:00,7600.84,8306.40,8306.40,7600.84,0.00,78.00,7600.84,323.00,90.00,7600.84,1302.20,863.70,7600.84,455.00,506.80,7600.84,572.90,139.90,7600.84,5.90,1525.20,7600.84,0.00,200.00,7600.84,9.90,2221.60,7600.84,0.00,82.30,7600.84,0.00,115.00,7600.84,33.80,1076.50,7600.84,5603.70,892.00,7600.84,0.00,515.40
13:00 - 13:15,7000.06,8625.20,8625.20,7000.06,0.00,60.00,7000.06,333.00,90.00,7000.06,1378.00,863.70,7000.06,455.00,506.50,7000.06,567.54,139.90,7000.06,148.16,2112.20,7000.06,0.00,200.00,7000.06,10.00,1971.60,7000.06,0.00,82.30,7000.06,0.00,115.00,7000.06,33.80,1076.60,7000.06,5699.70,892.00,7000.06,0.00,515.40
13:15 - 13:30,5989.48,8641.10,8641.10,5989.48,0.00,60.00,5989.48,338.00,90.00,5989.48,1380.00,860.70,5989.48,455.00,506.50,5989.48,568.70,139.90,5989.48,156.90,2443.20,5989.48,0.00,200.00,5989.48,10.00,1971.60,5989.48,0.00,82.30,5989.48,0.00,52.90,5989.48,33.80,1026.60,5989.48,5698.70,692.00,5989.48,0.00,515.40
