Delivery Date,Portfolio Name,Portfolio Code,Total Injection (MWh),Total Drawal (MWh),Absolute Sum (MWh),Invoice,NLDC Application Charges,CTU Charges,NLDC Sch. & Oper. Charges,STU Charges,Distribution Charges,SLDC Charges,ALDC Charges,Fees,IGST,SGST,CGST,UTGST,Final Obligation
September - 2018,Birla_Tyres,E2OR0TPT0530,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Britannia_Industries_Limited,N2UA0TPT0569,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Burakia_Steel_and_Alloys,A2AS0TPT0544,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Essar_Oil_Ltd,W2GJ0TPT0564,-191.900000,0.000000,191.900000,1105369.10,14.53,16445.83,191.90,70849.48,0.00,1000.00,0.00,3838.00,690.84,0.00,0.00,0.00,1012338.52,
September - 2018,Exide_Industries_Ltd_Rewari,N1HR0TPT0263,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),N1SJ0TPT0532,-199.075000,0.000000,199.075000,1096068.81,14.53,32070.98,199.08,0.00,0.00,0.00,0.00,3981.50,716.67,0.00,0.00,0.00,1059086.05,
September - 2018,Ganesha_Ecosphere_Ltd,N2UA0TPT0155,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Gland_Pharma_Limited_(MCL_766),S1TG0TPT0318,0.000000,3.900000,3.900000,-18115.95,14.53,922.35,3.90,396.08,0.00,1000.00,0.00,78.00,14.04,0.00,0.00,0.00,-20544.85,
September - 2018,Gland_Pharma_Limited_(VSP_576),S1AP0TPT0344,0.000000,1.175000,1.175000,-5458.24,14.53,410.66,1.18,154.12,21.00,1000.00,0.00,23.50,4.23,0.00,0.00,0.00,-7087.46,
September - 2018,Gland_Pharma_Limited_SGR_1953,S1TG0TPT0464,0.000000,2.800000,2.800000,-13009.56,14.53,662.20,2.80,284.37,0.00,1000.00,0.00,56.00,10.08,0.00,0.00,0.00,-15039.54,
September - 2018,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),N1KW1TPT0364,-1342.600000,0.000000,1342.600000,7577192.01,14.53,216292.86,200.00,0.00,0.00,0.00,0.00,26852.00,4833.36,0.00,0.00,0.00,7328999.26,
September - 2018,HPCL_VSP_VZA_Pipe_Line_VSP_308,S1AP0TPT0566,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Hindustan_Petroleum_Corporation_Limited_RJY_388,S1AP0TPT0567,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),W2MH0TPT0565,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Huhtamaki_PPL_Limited_(formerly_The_Paper_Products_Limited_SGR_085),S1TG0TPT0374,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,India_Cements_Ltd_VKB_708_Tandur,S1TG0TPT0049,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Jindal_India_Thermal_Power_Limited_(JITPL)_TPT,E2JT0TPT0379,-837.750000,0.000000,837.750000,4448142.72,14.53,134961.53,200.00,0.00,0.00,0.00,0.00,16755.00,3015.90,0.00,0.00,0.00,4293195.76,
September - 2018,KPR_Mill_Ltd_Arasur_HTSC_275,S2TN0TPT0061,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,KPR_Mill_Ltd_Arasur_HTSC_641,S2TN0TPT0233,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,KPR_Mill_Ltd_Kodiveri_HTSC_81,S2TN0TPT0062,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,K_D_Cements,A2AS0TPT0538,0.000000,0.400000,0.400000,-1987.62,14.53,109.64,0.40,260.00,0.00,1000.00,0.00,8.00,1.44,0.00,0.00,0.00,-3381.63,
September - 2018,K_P_R_Mills_Ltd,S2TN0TPT0050,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,MGM_Minerals_Ltd,E2OR0TPT0474,-79.200000,0.000000,79.200000,418069.64,14.53,27680.40,79.20,4950.00,0.00,2000.00,0.00,1584.00,285.12,0.00,0.00,0.00,381476.39,
September - 2018,MMG_Steels_(P)_Ltd_(SGR_459),S1TG0TPT0386,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,S2TN0TPT0183,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Mantri_Mettallics_Pvt_Ltd_Pantnagar,N2UA0TPT0141,0.000000,29.300000,29.300000,-152122.39,14.53,5824.84,29.30,2995.63,0.00,1000.00,0.00,586.00,105.48,0.00,0.00,0.00,-162678.17,
September - 2018,Mumbai _International_Airport_Pvt_Ltd_900000784496,W2MH0TPT0472,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Mumbai_International_Airport_Pvt_Ltd_900000038075,W2MH0TPT0559,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
